time,open,high,low,close
1778011080,7285.75,7287.5,7285,7287.25
1778011140,7287.5,7288.25,7286.25,7287
1778011200,7286.75,7288.5,7286,7287.5
1778011260,7287.25,7288.75,7287,7288.5
1778011320,7288.5,7289.5,7288.25,7289.25
1778011380,7289.25,7289.25,7287.75,7288.5
1778011440,7288.5,7289.25,7288.5,7289
1778011500,7289.25,7290.25,7288.75,7288.75
1778011560,7288.5,7288.75,7287.75,7287.75
1778011620,7288,7288.5,7287.75,7287.75
1778011680,7287.75,7288.5,7287.25,7288.25
1778011740,7288,7288.5,7287.75,7288.25
1778011800,7288.25,7289,7288,7288.5
1778011860,7288.75,7289.5,7288.5,7289.5
1778011920,7289.25,7289.75,7289,7289.5
1778011980,7289.75,7290.75,7289.5,7290.5
1778012040,7290.5,7290.75,7289.5,7290.25
1778012100,7290.25,7291,7284.75,7288.5
1778012160,7288.5,7288.5,7286.75,7288.25
1778012220,7288.5,7291.25,7288.25,7291
1778012280,7291,7293,7291,7292
1778012340,7292,7295.25,7291.75,7293.75
1778012400,7293.5,7294.5,7292.5,7294.25
1778012460,7294.25,7294.25,7292.75,7293.5
1778012520,7293.25,7294.25,7293,7293
1778012580,7293,7296.5,7293,7295.75
1778012640,7295.75,7298.25,7295.75,7297.75
1778012700,7297.5,7302,7297.25,7301
1778012760,7301,7303,7300.25,7301.25
1778012820,7301.25,7304,7300.5,7302.75
1778012880,7302.75,7304.25,7302.5,7303.5
1778012940,7303.5,7303.75,7302,7302
1778013000,7302,7302,7298.75,7299.25
1778013060,7299.25,7300,7299,7300
1778013120,7300.25,7300.25,7297.5,7299.25
1778013180,7299.5,7300.75,7299.25,7300.5
1778013240,7300.25,7300.75,7299,7299.25
1778013300,7299,7299,7298,7298.25
1778013360,7298.25,7299.5,7298,7299.25
1778013420,7299.5,7300.5,7299.25,7299.5
1778013480,7299.25,7299.75,7298.75,7298.75
1778013540,7298.75,7298.75,7297.5,7297.5
1778013600,7297.75,7297.75,7295.75,7296
1778013660,7296,7296.5,7295.5,7295.5
1778013720,7295.75,7297.25,7295.75,7297
1778013780,7297.25,7297.25,7296,7296
